actor_common.dies,dies.,死了。
item_potion.burrowing_descr,"Infused with the alchemically treated blood of Chthonians, it grants the consumer the ability to burrow through earth and rock (can burrow through walls and rubble).",注入了经过炼金处理的钻地魔血液，赋予饮用者穿过泥土和岩石掘进的能力（可以穿过墙壁和瓦砾）。
item_potion.burrowing_name,Burrowing,掘地
item_potion.carapace_descr,"Causes a tough carapace to grow over the consumer's skin providing protection against physical attacks (+3 armor points), as well as some resistance against burning (+25% chance to resist burning).",使坚硬的甲壳覆盖饮用者的皮肤，提供对物理攻击的防护（+3 护甲点），并获得一些燃烧抗性（+25% 抵抗燃烧几率）。
item_potion.carapace_name,Carapace,甲壳
item_potion.confusion_descr,Causes confusion.,导致混乱。
item_potion.confusion_name,Confusion,混乱
item_potion.curing_descr,"Restores 3 hit points, and cures blindness, deafness, poisoning, infections, disease and weakening.",恢复 3 点生命值，并治愈失明、失聪、中毒、感染、疾病和虚弱。
item_potion.curing_name,Curing,治疗
item_potion.descent_descr,A bizarre liquid that causes the consumer to dematerialize and sink through the ground.,一种奇异液体，会让饮用者非物质化并沉入地下。
item_potion.descent_name,Descent,下沉
item_potion.disease_descr,Causes disease.,导致疾病。
item_potion.disease_name,Disease,疾病
item_potion.drink_prefix,I drink ,我喝下了
item_potion.drink_unknown_prefix,I drink an unknown ,我喝下了一瓶未知的
item_potion.ellipsis,...,...
item_potion.fade_out_and_reappear,I fade out of existence and reappear.,我从现实中淡出，然后又重新出现。
item_potion.feel_fine,I feel fine.,我感觉很好。
item_potion.feel_insightful,I feel insightful.,我感到洞察力涌现。
item_potion.feel_like_prefix,I feel like ,我觉得
item_potion.feel_more_at_ease,I feel more at ease.,我感到安心多了。
item_potion.fortitude_descr,Gives the consumer complete peace and clarity of mind.,给予饮用者完全的平静与清明。
item_potion.fortitude_name,Fortitude,坚韧
item_potion.history_identified_prefix,Identified ,辨识了
item_potion.identified_prefix,I have identified ,我已经辨识出了
item_potion.insight_descr,This strange concoction causes a sudden flash of intuition.,这种奇异的混合物会带来一阵突如其来的直觉闪现。
item_potion.insight_name,Insight,洞察
item_potion.keep_it_for_a_while,Perhaps keeping it for a while will reveal something about it.,也许先留着它一会儿会让人看出一些端倪。
item_potion.malign,Malign,恶性
item_potion.paralyzation_descr,Causes paralysis.,导致麻痹。
item_potion.paralyzation_name,Paralyzation,麻痹
item_potion.period,.,。
item_potion.poison_descr,A sinister brew.,一剂邪恶的药水。
item_potion.poison_name,Poison,毒
item_potion.real_name_a_prefix,a Potion of ,药水：
item_potion.real_name_plural_prefix,Potions of ,药水：
item_potion.real_name_prefix,Potion of ,药水：
item_potion.resistance_descr,"Completely protects the consumer from electricity, fire and poison - and also prevents paralysis.",完全保护饮用者免受电击、火焰和毒素伤害，并且防止麻痹。
item_potion.resistance_name,Resistance,抗性
item_potion.shatters_on_prefix,The potion shatters on ,药水在
item_potion.sinking_sensation_disappears,"I feel a faint sinking sensation, but it soon disappears...",我感到一阵微弱的下沉感，但很快就消失了……
item_potion.skill_descr,"The consumer becomes more skillful (+10% to hit chance, evasion, stealth, and searching).",饮用者变得更加熟练（命中率、闪避、潜行和搜索 +10%）。
item_potion.skill_name,Skill,技艺
item_potion.spirit_descr,Fully restores the spirit.,完全恢复精神。
item_potion.spirit_name,Spirit,精神
item_potion.this_potion_is,This potion is ,这瓶药水是
item_potion.unidentified_plural_suffix, Potions,药水
item_potion.unidentified_suffix, Potion,药水
item_potion.vitality_descr,"This elixir fully restores all hit points, heals all wounds, and cures blindness, deafness, poisoning, infections, disease and weakening. Also, for some duration after consuming the potion, +1 extra hit point is healed per turn, and there is 10% chance per turn to heal one wound.",这种灵药会完全恢复所有生命值，治疗所有伤口，并治愈失明、失聪、中毒、感染、疾病和虚弱。此外，饮用药水后的一段时间内，每回合会额外恢复 1 点生命值，并且每回合有 10% 几率治疗一个伤口。
item_potion.vitality_name,Vitality,生命力
item_rod.a_rod_of_prefix,a Rod of ,魔杖：
item_rod.activate_prefix,I activate ,我激活了
item_rod.cloud_minds_descr,"When activated, this device clouds the memories of all creatures in the area, causing them to forget the presence of the user.",激活时，此装置会让区域内所有生物的记忆变得模糊，使它们忘记使用者的存在。
item_rod.cloud_minds_name,Cloud Minds,心智迷雾
item_rod.deafening_descr,"When activated, this device causes temporary deafness in all creatures in a large area, except for the user.",激活时，此装置会让大范围内所有生物暂时失聪，使用者除外。
item_rod.deafening_name,Deafening,失聪
item_rod.displacement_descr,"When activated, this device moves the user a short distance.",激活时，此装置会将使用者短距离移动。
item_rod.displacement_name,Displacement,置换
item_rod.door_appears,A door appears!,一扇门出现了！
item_rod.ellipsis,...,...
item_rod.finished_charging_prefix,The ,那根
item_rod.finished_charging_suffix, has finished charging.,已经充能完毕。
item_rod.gateways_descr,"When activated, this device materializes an entryway somewhere in an adjacent surface.",激活时，此装置会在相邻表面的某处实体化一道入口。
item_rod.gateways_name,Gateways,传送门
item_rod.history_identified_prefix,Identified ,辨识了
item_rod.identified_prefix,I have identified ,我已经辨识出了
item_rod.is_hit, is hit!,被击中！
item_rod.look_chromium,Chromium,铬
item_rod.look_chromium_a,a Chromium,铬
item_rod.look_cobalt,Cobalt,钴
item_rod.look_cobalt_a,a Cobalt,钴
item_rod.look_copper,Copper,铜
item_rod.look_copper_a,a Copper,铜
item_rod.look_gallium,Gallium,镓
item_rod.look_gallium_a,a Gallium,镓
item_rod.look_golden,Golden,金
item_rod.look_golden_a,a Golden,金
item_rod.look_iron,Iron,铁
item_rod.look_iron_a,an Iron,铁
item_rod.look_lead,Lead,铅
item_rod.look_lead_a,a Lead,铅
item_rod.look_lithium,Lithium,锂
item_rod.look_lithium_a,a Lithium,锂
item_rod.look_magnesium,Magnesium,镁
item_rod.look_magnesium_a,a Magnesium,镁
item_rod.look_nickel,Nickel,镍
item_rod.look_nickel_a,a Nickel,镍
item_rod.look_platinum,Platinum,铂
item_rod.look_platinum_a,a Platinum,铂
item_rod.look_silver,Silver,银
item_rod.look_silver_a,a Silver,银
item_rod.look_tin,Tin,锡
item_rod.look_tin_a,a Tin,锡
item_rod.look_titanium,Titanium,钛
item_rod.look_titanium_a,a Titanium,钛
item_rod.look_tungsten,Tungsten,钨
item_rod.look_tungsten_a,a Tungsten,钨
item_rod.look_zinc,Zinc,锌
item_rod.look_zinc_a,a Zinc,锌
item_rod.look_zirconium,Zirconium,锆
item_rod.look_zirconium_a,a Zirconium,锆
item_rod.mist_descr,"When activated, this device alters the atmosphere in order to cover the user in a dense mist. The mist is also strangely soothing (-10% temporary shock).",激活时，此装置会改变大气，把使用者包裹在浓雾中。雾还会带来一种奇怪的舒缓效果（临时疯狂值 -10%）。
item_rod.mist_name,Mist,薄雾
item_rod.nothing_happens,Nothing happens.,什么也没有发生。
item_rod.opening_descr,"When activated, this device opens all locks, lids and doors in the surrounding area (except heavy doors operated externally by a switch).",激活时，此装置会打开周围区域内所有的锁、盖子和门（除了由开关从外部操作的重型门）。
item_rod.opening_name,Opening,开启
item_rod.rod_of_prefix,Rod of ,魔杖：
item_rod.rod_suffix, Rod,魔杖
item_rod.rods_of_prefix,Rods of ,魔杖：
item_rod.rods_suffix, Rods,魔杖
item_rod.shockwave_descr,"When activated, this device generates a shock wave which violently pushes away any adjacent creatures and destroys structures.",激活时，此装置会生成一道震荡波，猛烈推开相邻的任何生物并摧毁结构。
item_rod.shockwave_name,Shockwave,震荡波
item_rod.sleep_descr,"When activated, this device selects a single nearby seen creature, and attempts to hypnotize it, putting them to sleep if susceptible. It is unknown how the target selection works.",激活时，此装置会选择一个附近可见的生物，并尝试催眠它，若其脆弱则使其沉睡。其目标选择方式尚不清楚。
item_rod.sleep_name,Sleep,沉睡
item_rod.still_charging_prefix,The ,那根
item_rod.still_charging_suffix, is still charging.,仍在充能。
item_rod.tried,(Tried),（已试）
item_rod.triggers_shock_wave,It triggers a shock wave around me.,它触发了我周围的震荡波。
item_rod.turns_left_open,(,（
item_rod.turns_left_suffix, turns),回合）
item_rod.unbinding_descr,"When activated, this device breaks the user free from any bonds (entangled, stuck, nailed), and ends slowing.",激活时，此装置会让使用者摆脱任何束缚（缠绕、卡住、钉住），并结束减速。
item_rod.unbinding_name,Unbinding,解缚
item_rod.vanish_from_minds,I vanish from the minds of my enemies.,我从敌人的记忆中消失了。
item_rod.vapor_envelops,A shroud of vapor envelops me.,一层水汽将我笼罩。
item_scroll.a_manuscript_of_prefix,a Manuscript of ,一份
item_scroll.a_manuscript_of_suffix,__EMPTY__,手稿
item_scroll.a_manuscript_titled_prefix,a Manuscript titled ,一份题为
item_scroll.a_manuscript_titled_suffix,__EMPTY__,的手稿
item_scroll.destroy_profane_prefix,I destroy the profane ,我摧毁了亵渎的
item_scroll.domain_reveal_mid, belong to the ,属于
item_scroll.domain_reveal_prefix,I feel like ,我觉得
item_scroll.domain_reveal_suffix, domain.,领域。
item_scroll.ellipsis,...,...
item_scroll.exclaim,!,！
item_scroll.fake_name.acerbus_shatruex,Acerbus-shatruex,Acerbus-shatruex
item_scroll.fake_name.bhuudesco,Bhuudesco,Bhuudesco
item_scroll.fake_name.bhuuesco,Bhuuesco,Bhuuesco
item_scroll.fake_name.cruensseasrjit,Cruensseasrjit,Cruensseasrjit
item_scroll.fake_name.cruento_pestis,Cruento Pestis,Cruento Pestis
item_scroll.fake_name.cruo_stragara_na,Cruo stragara-na,Cruo stragara-na
item_scroll.fake_name.domus_bhaava,Domus-bhaava,Domus-bhaava
item_scroll.fake_name.durbentia,Durbentia,Durbentia
item_scroll.fake_name.geropayati,Geropayati,Geropayati
item_scroll.fake_name.infirmux,Infirmux,Infirmux
item_scroll.fake_name.lokemundux,Lokemundux,Lokemundux
item_scroll.fake_name.maravita,Maravita,Maravita
item_scroll.fake_name.pestis_cruento,Pestis Cruento,Pestis Cruento
item_scroll.fake_name.praansilenux,Praansilenux,Praansilenux
item_scroll.fake_name.praya_navita,Praya navita,Praya navita
item_scroll.fake_name.pretaanluxis,Pretaanluxis,Pretaanluxis
item_scroll.fake_name.pretia_cruento,Pretia Cruento,Pretia Cruento
item_scroll.fake_name.profanuxes,Profanuxes,Profanuxes
item_scroll.fake_name.quodpipax,Quodpipax,Quodpipax
item_scroll.fake_name.rudminuox,Rudminuox,Rudminuox
item_scroll.fake_name.rudsceleratus,Rudsceleratus,Rudsceleratus
item_scroll.fake_name.shaantitus,Shaantitus,Shaantitus
item_scroll.fake_name.vilomaxus,Vilomaxus,Vilomaxus
item_scroll.fake_word.barada,Barada,Barada
item_scroll.fake_word.bibox,Bibox,Bibox
item_scroll.fake_word.caecux,Caecux,Caecux
item_scroll.fake_word.crudux,Crudux,Crudux
item_scroll.fake_word.cruentu,Cruentu,Cruentu
item_scroll.fake_word.cruo,Cruo,Cruo
item_scroll.fake_word.cruonit,Cruonit,Cruonit
item_scroll.fake_word.desco,Desco,Desco
item_scroll.fake_word.domus,Domus,Domus
item_scroll.fake_word.esco,Esco,Esco
item_scroll.fake_word.eximha,Eximha,Eximha
item_scroll.fake_word.gero,Gero,Gero
